document_id,split,old_critical_error_label,corrected_critical_error_label,old_weighted_loss,corrected_weighted_loss,row_permutation_only,row_semantic_association_error,reason_for_change
cord-v2-validation-00036,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00037,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00038,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00039,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00040,validation,True,True,0.417910447761194,0.417910447761194,False,False,UNCHANGED
cord-v2-validation-00041,validation,True,True,0.25,0.3625,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-validation-00042,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00043,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00044,validation,True,True,0.35714285714285715,0.35714285714285715,False,False,UNCHANGED
cord-v2-validation-00045,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00046,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00047,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00048,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00049,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00050,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00051,validation,True,True,0.20512820512820512,0.20512820512820512,False,False,UNCHANGED
cord-v2-validation-00052,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00053,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00054,validation,False,False,0.125,0.125,False,False,UNCHANGED
cord-v2-validation-00055,validation,True,True,0.2,0.2,False,False,UNCHANGED
cord-v2-validation-00056,validation,False,False,0.10714285714285714,0.10714285714285714,False,False,UNCHANGED
cord-v2-validation-00057,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00058,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00059,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00060,validation,True,True,0.8571428571428571,0.8571428571428571,False,False,UNCHANGED
cord-v2-validation-00061,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00062,validation,True,True,0.14285714285714285,0.14285714285714285,False,False,UNCHANGED
cord-v2-validation-00063,validation,True,True,0.13114754098360656,0.13114754098360656,False,False,UNCHANGED
cord-v2-validation-00064,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00065,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00066,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00067,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00068,validation,False,False,0.10344827586206896,0.10344827586206896,False,False,UNCHANGED
cord-v2-validation-00069,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00070,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00071,validation,True,True,0.44,0.44,False,False,UNCHANGED
cord-v2-validation-00072,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00073,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00074,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00075,validation,True,True,0.22093023255813954,0.14102564102564102,False,False,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-validation-00076,validation,True,True,0.22916666666666666,0.22916666666666666,False,False,UNCHANGED
cord-v2-validation-00077,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00078,validation,True,True,0.11940298507462686,0.11940298507462686,False,False,UNCHANGED
cord-v2-validation-00079,validation,True,True,0.0784313725490196,0.0784313725490196,False,False,UNCHANGED
cord-v2-validation-00080,validation,True,True,0.38095238095238093,0.38095238095238093,False,False,UNCHANGED
cord-v2-validation-00081,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00082,validation,True,True,0.13114754098360656,0.13114754098360656,False,False,UNCHANGED
cord-v2-validation-00083,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00084,validation,True,True,0.3793103448275862,0.3793103448275862,False,False,UNCHANGED
cord-v2-validation-00085,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00086,validation,True,True,0.36363636363636365,0.36363636363636365,False,False,UNCHANGED
cord-v2-validation-00087,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00088,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00089,validation,False,False,0.125,0.125,False,False,UNCHANGED
cord-v2-validation-00090,validation,True,True,0.4878048780487805,0.4878048780487805,False,False,UNCHANGED
cord-v2-validation-00091,validation,True,True,0.3404255319148936,0.3404255319148936,False,False,UNCHANGED
cord-v2-validation-00092,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00093,validation,True,False,0.5909090909090909,0.5588235294117647,False,True,ASSIGNMENT_ONLY_PENALTY_REMOVED
cord-v2-validation-00094,validation,True,True,0.15384615384615385,0.15384615384615385,False,False,UNCHANGED
cord-v2-validation-00095,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00096,validation,True,True,0.3404255319148936,0.3404255319148936,False,False,UNCHANGED
cord-v2-validation-00097,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00098,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00099,validation,True,True,0.45,0.45,False,False,UNCHANGED
cord-v2-test-00000,test,True,True,0.723404255319149,0.723404255319149,False,False,UNCHANGED
cord-v2-test-00001,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00002,test,True,True,0.36363636363636365,0.5454545454545454,False,False,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00003,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00004,test,True,True,0.18181818181818182,0.18181818181818182,False,False,UNCHANGED
cord-v2-test-00005,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00006,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00007,test,True,True,0.3404255319148936,0.3404255319148936,False,False,UNCHANGED
cord-v2-test-00008,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00009,test,False,False,0.11538461538461539,0.11538461538461539,False,False,UNCHANGED
cord-v2-test-00010,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00011,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00012,test,True,True,0.6666666666666666,0.6666666666666666,False,False,UNCHANGED
cord-v2-test-00013,test,True,True,0.639344262295082,0.639344262295082,False,False,UNCHANGED
cord-v2-test-00014,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00015,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00016,test,True,True,0.6574074074074074,0.63,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00017,test,True,True,0.2803738317757009,0.2222222222222222,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00018,test,True,True,0.6944444444444444,0.6944444444444444,False,False,UNCHANGED
cord-v2-test-00019,test,True,True,0.3333333333333333,0.3333333333333333,False,False,UNCHANGED
cord-v2-test-00020,test,True,True,0.41025641025641024,0.41025641025641024,False,False,UNCHANGED
cord-v2-test-00021,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00022,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00023,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00024,test,True,True,0.8507462686567164,0.8507462686567164,False,False,UNCHANGED
cord-v2-test-00025,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00026,test,True,True,0.3763440860215054,0.3176470588235294,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00027,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00028,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00029,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00030,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00031,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00032,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00033,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00034,test,True,True,0.17777777777777778,0.17777777777777778,False,False,UNCHANGED
cord-v2-test-00035,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00036,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00037,test,True,True,0.47619047619047616,0.47619047619047616,False,False,UNCHANGED
cord-v2-test-00038,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00039,test,True,True,1.0,1.0,False,False,UNCHANGED
cord-v2-test-00040,test,True,True,0.375,0.375,False,False,UNCHANGED
cord-v2-test-00041,test,True,True,0.4251968503937008,0.4251968503937008,False,False,UNCHANGED
cord-v2-test-00042,test,True,True,0.17647058823529413,0.17647058823529413,False,False,UNCHANGED
cord-v2-test-00043,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00044,test,True,True,0.38095238095238093,0.38095238095238093,False,False,UNCHANGED
cord-v2-test-00045,test,True,True,0.18518518518518517,0.18518518518518517,False,False,UNCHANGED
cord-v2-test-00046,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00047,test,True,True,0.06944444444444445,0.2916666666666667,False,False,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00048,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00049,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00050,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00051,test,True,True,0.4215686274509804,0.4215686274509804,False,False,UNCHANGED
cord-v2-test-00052,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00053,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00054,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00055,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00056,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00057,test,True,True,0.6923076923076923,0.6923076923076923,False,False,UNCHANGED
cord-v2-test-00058,test,True,True,0.23529411764705882,0.23529411764705882,False,False,UNCHANGED
cord-v2-test-00059,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00060,test,True,True,0.3125,0.2361111111111111,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00061,test,True,True,0.183206106870229,0.183206106870229,False,False,UNCHANGED
cord-v2-test-00062,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00063,test,True,True,0.42857142857142855,0.34545454545454546,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00064,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00065,test,True,True,0.21428571428571427,0.21428571428571427,False,False,UNCHANGED
cord-v2-test-00066,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00067,test,False,False,0.10344827586206896,0.10344827586206896,False,False,UNCHANGED
cord-v2-test-00068,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00069,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00070,test,True,True,0.17177914110429449,0.12903225806451613,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00071,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00072,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00073,test,False,False,0.125,0.125,False,False,UNCHANGED
cord-v2-test-00074,test,True,True,0.1927710843373494,0.10666666666666667,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00075,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00076,test,True,True,0.18867924528301888,0.18867924528301888,False,False,UNCHANGED
cord-v2-test-00077,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00078,test,True,True,0.25,0.25,False,False,UNCHANGED
cord-v2-test-00079,test,False,False,0.125,0.125,False,False,UNCHANGED
cord-v2-test-00080,test,True,True,0.2857142857142857,0.2857142857142857,False,False,UNCHANGED
cord-v2-test-00081,test,False,False,0.08955223880597014,0.08955223880597014,False,False,UNCHANGED
cord-v2-test-00082,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00083,test,True,True,0.5,0.5,False,False,UNCHANGED
cord-v2-test-00084,test,True,True,0.5072463768115942,0.4426229508196721,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00085,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00086,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00087,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00088,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00089,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00090,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00091,test,True,True,0.8125,0.8125,False,False,UNCHANGED
cord-v2-test-00092,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00093,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00094,test,True,True,0.6193548387096774,0.5986394557823129,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00095,test,True,True,0.5081967213114754,0.5081967213114754,False,False,UNCHANGED
cord-v2-test-00096,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00097,test,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-test-00098,test,True,True,0.38666666666666666,0.5522388059701493,False,True,WEIGHTED_LOSS_RECOMPUTED_WITHOUT_ASSIGNMENT_ONLY_PENALTY_OR_WITH_EXPLICIT_ASSOCIATION
cord-v2-test-00099,test,True,True,0.05714285714285714,0.05714285714285714,False,False,UNCHANGED
